municipio_id,municipio,provincia,poblacion
583,Llanes,Asturias,13473
584,Tomiño,Pontevedra,13464
585,Alovera,Guadalajara,13459
586,La Llagosta,Cataluña,13430
587,Godella,Valencia,13414
588,El Casar,Guadalajara,13345
589,Gibraleón,Huelva,13306
590,Fraga,Huesca,13284
591,Torredonjimeno,Jaén,13258
592,Ciudad Rodrigo,Salamanca,13209
593,Aguilar de la Frontera,Córdoba,13185
594,Canals,Valencia,13162
595,Estella - Lizarra,Navarre,13150
596,San Agustín del Guadalix,Madrid,13103
597,Albatera,Alicante,13092
598,Abarán,Murcia,13080
599,Sarria,Lugo,13053
600,Vejer de la Frontera,Cádiz,13041
601,Villalbilla,Madrid,13038
602,Campo de Criptana,Ciudad Real,12972
603,Palos de la Frontera,Huelva,12900
604,Berja,Almería,12884
605,Laviana,Asturias,12882
606,Brenes,Seville,12845
607,Teror,"Gran Canaria, Las Palmas",12831
608,Santa Margalida (Santa Margarita),"Mallorca, Balearic Islands",12830
609,Santa Cruz de Bezana ,Cantabria,12818
610,Coria,Cáceres,12781
611,Valverde del Camino,Huelva,12704
612,Salobreña,Granada,12608
613,Santa Coloma de Farners,Cataluña,12601
614,Sant Sadurní d'Anoia,Cataluña,12590
615,Betanzos,A Coruña,12575
616,Villafranca de los Barros,Badajoz,12568
617,Jaca,Huesca,12553
618,Monóvar,Alicante,12542
619,Teulada,Alicante,12515
620,Albox,Almería,12510
621,Vilanova del Camí,Cataluña,12506
622,Moralzarzal,Madrid,12496
623,Castellbisbal,Cataluña,12434
624,Estepa,Seville,12410
625,As Pontes de García Rodríguez,A Coruña,12367
626,La Seu d'Urgell,Cataluña,12366
627,Santanyí,"Mallorca, Balearic Islands",12364
628,Vegas del Genil,Granada,12323
629,Fuensalida,Toledo,12322
630,Valdemorillo,Madrid,12300
631,Alcalá del Río,Seville,12293
632,Ceutí,Murcia,12286
633,Benisa,Alicante,12279
634,Huétor Vega,Granada,12279
635,Villamartín,Cádiz,12249
636,Capdepera,"Mallorca, Balearic Islands",12212
637,La Alcudia,Valencia,12197
638,Socuéllamos,Ciudad Real,12162
639,Mont-roig del Camp,Cataluña,12148
640,Bueu,Pontevedra,12148
641,Baiona,Pontevedra,12134
642,Abrera,Cataluña,12125
643,Cangas del Narcea,Asturias,12124
644,Pulpí,Almería,12123
645,Velilla de San Antonio,Madrid,12111
646,Utebo,Zaragoza,12100
647,Son Servera,"Mallorca, Balearic Islands",12072
648,Santiago del Teide,"Tenerife, Santa Cruz de Tenerife",12072
649,Ordes,A Coruña,12015
650,Yuncos,Toledo,12009
651,Cunit,Cataluña,11989
652,Benifayó,Valencia,11984
653,Bolaños de Calatrava,Ciudad Real,11978
654,Etxebarri,Biscay,11968
655,Argentona,Cataluña,11963
656,Zizur Mayor Zizur Nagusia,Navarre,11950
657,Arrigorriaga,Biscay,11949
658,Valle de Trápaga-Trapagaran,Biscay,11907
659,Karrantza Harana Valle de Carranza,Biscay,11907
660,Formentera,"Formentera, Balearic Islands",11891
661,Benaguacil,Valencia,11877
662,La Puebla del Río,Seville,11860
663,Deltebre,Cataluña,11831
664,Medina Sidonia,Cádiz,11806
665,Andratx (Andrach),"Mallorca, Balearic Islands",11780
666,Picaña,Valencia,11760
667,Rianxo,A Coruña,11747
668,Sada,A Coruña,11686
669,Peligros,Granada,11661
670,Utiel,Valencia,11632
671,Bullas,Murcia,11609
672,Azkoitia,Gipuzkoa,11608
673,Oñati,Gipuzkoa,11549
674,Beniel,Murcia,11508
675,Elgoibar,Gipuzkoa,11479
676,Castelló d'Empúries,Cataluña,11473
677,Campos,"Mallorca, Balearic Islands",11471
678,Valdés,Asturias,11394
679,Mancha Real,Jaén,11382
680,Torroella de Montgrí,Cataluña,11381
681,Tegueste,"Tenerife, Santa Cruz de Tenerife",11375
682,Castalla,Alicante,11365
683,Jódar,Jaén,11362
684,Laredo ,Cantabria,11347
685,Montgat,Cataluña,11315
686,Cocentaina,Alicante,11309
687,Bollullos de la Mitación,Seville,11255
688,Pallejà,Cataluña,11253
689,Sonseca,Toledo,11195
690,Quintanar de la Orden,Toledo,11062
691,Cabanillas del Campo,Guadalajara,11023
692,Bargas,Toledo,11018
693,Santoña ,Cantabria,11004
694,Haro,La Rioja,10965
695,Oropesa del Mar,Castellón,10958
696,Meliana,Valencia,10918
697,Los Corrales de Buelna ,Cantabria,10912
698,Santa Comba,A Coruña,10892
699,La Puebla de Cazalla,Seville,10817
700,Alberique,Valencia,10815
701,Villamarchante,Valencia,10772
702,Olivenza,Badajoz,10762
703,La Bisbal d'Empordà,Cataluña,10761
704,Ripoll,Cataluña,10751
705,Sant Joan de Vilatorrada,Cataluña,10733
